"","methods","2079","35","3802","3705","3807","3604","190403","54","3547","5"
"1","Amelia",NA,NA,0.1108213,NA,0.4076923,NA,NA,NA,0.4892803,NA
"2","mice",0.8397408,0.02736024,0.2372947,0.4243902,0.2692308,0.1692308,0.06576923,0.283871,0.4884071,0.6838584
"3","missForest",0.8328185,0.02728619,0.19343,0.5463415,0.3307692,0.1794872,0.04012821,0.2709677,0.4635652,NA
"4","PCA_MCA_FMAD",NA,0.03006294,0.08705314,NA,0.4307692,0.2461538,0.08089744,0.1935484,0.4809395,NA
"5","MFA",0.8396213,0.03009996,0.1709179,NA,0.3461538,0.2205128,0.08128205,0.1483871,0.367299,NA
"6","missRanger",0.8573267,0.03280267,0.1262802,0.3756098,0.3153846,0.2,0.05551282,0.2709677,0.3744956,NA
"7","softImpute",0.8288013,NA,0.10657,0.4634146,0.4307692,NA,0.05551282,0.2516129,0.3452575,NA
"8","HD",0.8396304,0.03002592,0.09584541,0.2829268,0.5153846,0.1948718,0.06076923,0.1677419,0.474586,NA
"9","IRMI",0.8205644,0.02180674,0.2109179,0.5365854,0.3,NA,0.04589744,0.4193548,0.3499548,0.6193162
"10","kNN",0.8030153,0.03009996,0.2849275,0.4926829,0.3461538,0.1897436,0.07076923,0.1483871,0.4808491,NA
"11","regrImp",0.8125207,0.03265457,0.0931401,0.5756098,0.2923077,NA,NA,0.1354839,0.4867811,NA
