"","ID","name","version","task_type"
"1",4,"labor",1,"binary"
"2",13,"breast-cancer",1,"binary"
"3",15,"breast-w",1,"binary"
"4",24,"mushroom",1,"binary"
"5",25,"colic",1,"binary"
"6",29,"credit-approval",1,"binary"
"7",38,"sick",1,"binary"
"8",49,"heart-c",1,"binary"
"9",51,"heart-h",1,"binary"
"10",52,"trains",1,"binary"
"11",55,"hepatitis",1,"binary"
"12",56,"vote",1,"binary"
"13",172,"shuttle-landing-control",1,"binary"
"14",179,"adult",1,"binary"
"15",194,"cleveland",1,"regression"
"16",196,"autoMpg",1,"regression"
"17",200,"pbc",1,"regression"
"18",204,"cholesterol",1,"regression"
"19",205,"sleep",1,"regression"
"20",213,"pharynx",1,"regression"
"21",222,"echoMonths",1,"regression"
"22",224,"breastTumor",1,"regression"
"23",231,"hungarian",1,"regression"
"24",232,"fishcatch",1,"regression"
"25",315,"us_crime",1,"regression"
"26",451,"irish",1,"binary"
"27",456,"analcatdata_birthday",1,"regression"
"28",466,"schizo",1,"binary"
"29",470,"profb",1,"binary"
"30",481,"biomed",1,"binary"
"31",491,"analcatdata_negotiation",1,"regression"
"32",498,"analcatdata_runshoes",1,"regression"
"33",506,"analcatdata_gsssexsurvey",1,"regression"
"34",516,"pbcseq",1,"regression"
"35",539,"analcatdata_galapagos",1,"regression"
"36",566,"meta",1,"regression"
"37",567,"kdd_coil_1",1,"regression"
"38",568,"kdd_coil_2",1,"regression"
"39",569,"auto93",1,"regression"
"40",570,"kdd_coil_3",1,"regression"
"41",575,"kdd_coil_4",1,"regression"
"42",576,"kdd_coil_5",1,"regression"
"43",577,"kdd_coil_6",1,"regression"
"44",578,"kdd_coil_7",1,"regression"
"45",738,"pharynx",2,"binary"
"46",739,"sleep",3,"binary"
"47",757,"meta",2,"binary"
"48",760,"analcatdata_uktrainacc",2,"binary"
"49",786,"cleveland",2,"binary"
"50",798,"cholesterol",2,"binary"
"51",802,"pbcseq",2,"binary"
"52",810,"pbc",3,"binary"
"53",831,"autoMpg",2,"binary"
"54",839,"kdd_el_nino-small",2,"binary"
"55",840,"autoHorse",2,"binary"
"56",842,"analcatdata_runshoes",2,"binary"
"57",844,"breastTumor",2,"binary"
"58",852,"analcatdata_gsssexsurvey",2,"binary"
"59",854,"fishcatch",2,"binary"
"60",858,"hungarian",2,"binary"
"61",861,"auto93",2,"binary"
"62",897,"colleges_aaup",2,"binary"
"63",898,"hip",2,"binary"
"64",899,"analcatdata_negotiation",2,"binary"
"65",930,"colleges_usnews",2,"binary"
"66",939,"chscase_whale",2,"binary"
"67",940,"water-treatment",2,"binary"
"68",944,"echoMonths",2,"binary"
"69",957,"braziltourism",2,"binary"
"70",960,"postoperative-patient-data",2,"binary"
"71",961,"analcatdata_broadwaymult",2,"binary"
"72",966,"analcatdata_halloffame",2,"binary"
"73",967,"cars",2,"binary"
"74",968,"analcatdata_birthday",2,"binary"
"75",972,"squash-stored",2,"binary"
"76",975,"autos",2,"binary"
"77",981,"kdd_internet_usage",1,"binary"
"78",984,"analcatdata_draft",2,"binary"
"79",985,"squash-unstored",2,"binary"
"80",986,"analcatdata_marketing",2,"binary"
"81",989,"anneal",3,"binary"
"82",990,"eucalyptus",2,"binary"
"83",992,"analcatdata_broadway",2,"binary"
"84",993,"kdd_ipums_la_97-small",1,"binary"
"85",998,"analcatdata_bondrate",2,"binary"
"86",999,"audiology",2,"binary"
"87",1000,"hypothyroid",2,"binary"
"88",1001,"sponge",2,"binary"
"89",1002,"ipums_la_98-small",2,"binary"
"90",1003,"primary-tumor",2,"binary"
"91",1007,"bridges",5,"binary"
"92",1008,"analcatdata_reviewer",2,"binary"
"93",1010,"dermatology",2,"binary"
"94",1017,"arrhythmia",2,"binary"
"95",1018,"ipums_la_99-small",2,"binary"
"96",1023,"soybean",2,"binary"
"97",1037,"ada_prior",1,"binary"
"98",1053,"jm1",1,"binary"
"99",1072,"qqdefects_numeric",1,"regression"
"100",1093,"Brainsize",1,"regression"
"101",1101,"lymphoma_2classes",1,"binary"
"102",1111,"KDDCup09_appetency",1,"binary"
"103",1112,"KDDCup09_churn",1,"binary"
"104",1114,"KDDCup09_upselling",1,"binary"
"105",1119,"adult-census",1,"binary"
"106",1240,"AirlinesCodrnaAdult",1,"binary"
"107",4532,"higgs",1,"regression"
"108",6331,"LoanDefaultPrediction",1,"regression"
"109",6332,"cylinder-bands",2,"binary"
"110",23381,"dresses-sales",2,"binary"
"111",23512,"higgs",2,"binary"
"112",23513,"KDD98",1,"regression"
"113",40536,"SpeedDating",1,"binary"
"114",40753,"delays_zurich_transport",1,"regression"
"115",40945,"Titanic",1,"binary"
"116",41021,"Moneyball",2,"regression"
"117",41138,"APSFailure",1,"binary"
"118",41160,"rl",1,"binary"
"119",41162,"kick",1,"binary"
"120",41430,"DiabeticMellitus",1,"binary"
"121",41506,"NewFuelCar",1,"regression"
"122",41523,"test_dataset",3,"regression"
"123",41526,"test_dataset",6,"binary"
"124",41704,"ASP-POTASSCO-regression",1,"regression"
"125",41968,"crimecommunitynums",1,"regression"
"126",41980,"SAT11-HAND-runtime-regression",1,"regression"
"127",42125,"employee_salaries",14,"regression"
"128",42165,"house_prices",1,"regression"
"129",42172,"regime_alimentaire",1,"binary"
"130",42206,"porto-seguro",2,"binary"
"131",42252,"Asteroid_Dataset",1,"binary"
"132",42496,"seattlecrime6",2,"regression"
"133",42563,"house_prices_nominal",1,"regression"
